#HGCROC channel #layer in 8-stack #board channel  #row  #column
56  0   1   0   0
11  0   2   0   1
16  0   3   0   2
18  0   4   0   3
22  0   5   1   3
13  0   6   1   2
5   0   7   1   1
32  0   8   1   0
63  1   1   0   0
27  1   2   0   1
23  1   3   0   2
14  1   4   0   3
19  1   5   1   3
25  1   6   1   2
29  1   7   1   1
46  1   8   1   0
61  2   1   0   0
60  2   2   0   1
59  2   3   0   2
20  2   4   0   3
12  2   5   1   3
58  2   6   1   2
10  2   7   1   1
1   2   8   1   0
15  3   1   0   0
30  3   2   0   1
34  3   4   0   2
65  3   3   0   3
69  3   5   1   3
64  3   6   1   2
57  3   7   1   1
33  3   8   1   0
55  4   1   0   0
28  4   2   0   1
39  4   3   0   2
70  4   4   0   3
42  4   5   1   3
47  4   6   1   2
9   4   7   1   1
31  4   8   1   0
50  5   1   0   0
45  5   2   0   1
4   5   3   0   2
66  5   4   0   3
0   5   5   1   3
49  5   6   1   2
36  5   7   1   1
51  5   8   1   0
3   6   1   0   0
7   6   2   0   1
41  6   3   0   2
54  6   4   0   3
68  6   5   1   3
43  6   6   1   2
37  6   7   1   1
24  6   8   1   0
48  7   1   0   0
6   7   2   0   1
21  7   3   0   2
40  7   4   0   3
38  7   5   1   3
2   7   6   1   2
52  7   7   1   1
67  7   8   1   0


